"","ID","AGE","COA","MALE","AGE_14","ALCUSE","PEER","CPEER","CCOA"
"116",39,15,0,1,1,0,",894427180290222","-,123572819709778","-,451"
"117",39,16,0,1,2,0,",894427180290222","-,123572819709778","-,451"
"118",40,14,0,0,0,0,"2,52982211112976","1,51182211112976","-,451"
"119",40,15,0,0,1,0,"2,52982211112976","1,51182211112976","-,451"
"120",40,16,0,0,2,0,"2,52982211112976","1,51182211112976","-,451"
"121",41,14,0,0,0,141421353816986,"1,54919338226318",",531193382263184","-,451"
"122",41,15,0,0,1,0,"1,54919338226318",",531193382263184","-,451"
"123",41,16,0,0,2,2,"1,54919338226318",",531193382263184","-,451"
"124",42,14,0,0,0,0,",894427180290222","-,123572819709778","-,451"
"125",42,15,0,0,1,0,",894427180290222","-,123572819709778","-,451"
"126",42,16,0,0,2,0,",894427180290222","-,123572819709778","-,451"
"127",43,14,0,0,0,0,",894427180290222","-,123572819709778","-,451"
"128",43,15,0,0,1,0,",894427180290222","-,123572819709778","-,451"
"129",43,16,0,0,2,0,",894427180290222","-,123572819709778","-,451"
"130",44,14,0,1,0,0,"0","-1,018","-,451"
"131",44,15,0,1,1,141421353816986,"0","-1,018","-,451"
"132",44,16,0,1,2,3,"0","-1,018","-,451"
"133",45,14,0,0,0,22360680103302,"1,78885436058044",",770854360580444","-,451"
"134",45,15,0,0,1,22360680103302,"1,78885436058044",",770854360580444","-,451"
"135",45,16,0,0,2,3,"1,78885436058044",",770854360580444","-,451"
"136",46,14,0,1,0,0,",894427180290222","-,123572819709778","-,451"
"137",46,15,0,1,1,0,",894427180290222","-,123572819709778","-,451"
"138",46,16,0,1,2,141421353816986,",894427180290222","-,123572819709778","-,451"
"139",47,14,0,0,0,0,",894427180290222","-,123572819709778","-,451"
"140",47,15,0,0,1,1,",894427180290222","-,123572819709778","-,451"
"141",47,16,0,0,2,0,",894427180290222","-,123572819709778","-,451"
"142",48,14,0,1,0,0,"0","-1,018","-,451"
"143",48,15,0,1,1,0,"0","-1,018","-,451"
"144",48,16,0,1,2,0,"0","-1,018","-,451"
"145",49,14,0,0,0,0,"0","-1,018","-,451"
"146",49,15,0,0,1,0,"0","-1,018","-,451"
"147",49,16,0,0,2,0,"0","-1,018","-,451"
"148",50,14,0,1,0,0,"1,26491105556488",",24691105556488","-,451"
"149",50,15,0,1,1,0,"1,26491105556488",",24691105556488","-,451"
"150",50,16,0,1,2,0,"1,26491105556488",",24691105556488","-,451"
"151",51,14,0,1,0,0,"0","-1,018","-,451"
"152",51,15,0,1,1,0,"0","-1,018","-,451"
"153",51,16,0,1,2,0,"0","-1,018","-,451"
"154",52,14,0,0,0,0,",894427180290222","-,123572819709778","-,451"
"155",52,15,0,0,1,1,",894427180290222","-,123572819709778","-,451"
"156",52,16,0,0,2,0,",894427180290222","-,123572819709778","-,451"
"157",53,14,0,1,0,0,"0","-1,018","-,451"
"158",53,15,0,1,1,0,"0","-1,018","-,451"
"159",53,16,0,1,2,0,"0","-1,018","-,451"
"160",54,14,0,0,0,0,"0","-1,018","-,451"
"161",54,15,0,0,1,0,"0","-1,018","-,451"
"162",54,16,0,0,2,1,"0","-1,018","-,451"
"163",55,14,0,1,0,0,"1,54919338226318",",531193382263184","-,451"
"164",55,15,0,1,1,0,"1,54919338226318",",531193382263184","-,451"
"165",55,16,0,1,2,0,"1,54919338226318",",531193382263184","-,451"
"166",56,14,0,0,0,0,"1,78885436058044",",770854360580444","-,451"
"167",56,15,0,0,1,141421353816986,"1,78885436058044",",770854360580444","-,451"
"168",56,16,0,0,2,264575123786926,"1,78885436058044",",770854360580444","-,451"
"169",57,14,0,1,0,0,"0","-1,018","-,451"
"170",57,15,0,1,1,0,"0","-1,018","-,451"
"171",57,16,0,1,2,0,"0","-1,018","-,451"
"172",58,14,0,1,0,1,",894427180290222","-,123572819709778","-,451"
"173",58,15,0,1,1,141421353816986,",894427180290222","-,123572819709778","-,451"
"174",58,16,0,1,2,244948983192444,",894427180290222","-,123572819709778","-,451"
"175",59,14,0,1,0,0,",894427180290222","-,123572819709778","-,451"
"176",59,15,0,1,1,0,",894427180290222","-,123572819709778","-,451"
"177",59,16,0,1,2,264575123786926,",894427180290222","-,123572819709778","-,451"
"178",60,14,0,0,0,0,"0","-1,018","-,451"
"179",60,15,0,0,1,1,"0","-1,018","-,451"
"180",60,16,0,0,2,141421353816986,"0","-1,018","-,451"
"181",61,14,0,0,0,2,"2",",982","-,451"
"182",61,15,0,0,1,22360680103302,"2",",982","-,451"
"183",61,16,0,0,2,2,"2",",982","-,451"
"184",62,14,0,1,0,0,",894427180290222","-,123572819709778","-,451"
"185",62,15,0,1,1,0,",894427180290222","-,123572819709778","-,451"
"186",62,16,0,1,2,0,",894427180290222","-,123572819709778","-,451"
"187",63,14,0,1,0,0,"0","-1,018","-,451"
"188",63,15,0,1,1,0,"0","-1,018","-,451"
"189",63,16,0,1,2,0,"0","-1,018","-,451"
"190",64,14,0,0,0,0,",894427180290222","-,123572819709778","-,451"
"191",64,15,0,0,1,2,",894427180290222","-,123572819709778","-,451"
"192",64,16,0,0,2,22360680103302,",894427180290222","-,123572819709778","-,451"
"193",65,14,0,0,0,0,"1,26491105556488",",24691105556488","-,451"
"194",65,15,0,0,1,1,"1,26491105556488",",24691105556488","-,451"
"195",65,16,0,0,2,141421353816986,"1,26491105556488",",24691105556488","-,451"
"196",66,14,0,1,0,141421353816986,"1,26491105556488",",24691105556488","-,451"
"197",66,15,0,1,1,346410155296326,"1,26491105556488",",24691105556488","-,451"
"198",66,16,0,1,2,3,"1,26491105556488",",24691105556488","-,451"
"199",67,14,0,0,0,1,",894427180290222","-,123572819709778","-,451"
"200",67,15,0,0,1,0,",894427180290222","-,123572819709778","-,451"
"201",67,16,0,0,2,0,",894427180290222","-,123572819709778","-,451"
"202",68,14,0,0,0,0,"0","-1,018","-,451"
"203",68,15,0,0,1,1,"0","-1,018","-,451"
"204",68,16,0,0,2,0,"0","-1,018","-,451"
"205",69,14,0,1,0,0,",894427180290222","-,123572819709778","-,451"
"206",69,15,0,1,1,0,",894427180290222","-,123572819709778","-,451"
"207",69,16,0,1,2,0,",894427180290222","-,123572819709778","-,451"
"208",70,14,0,0,0,2,"1,54919338226318",",531193382263184","-,451"
"209",70,15,0,0,1,1,"1,54919338226318",",531193382263184","-,451"
"210",70,16,0,0,2,0,"1,54919338226318",",531193382263184","-,451"
"211",71,14,0,1,0,0,",894427180290222","-,123572819709778","-,451"
"212",71,15,0,1,1,0,",894427180290222","-,123572819709778","-,451"
"213",71,16,0,1,2,0,",894427180290222","-,123572819709778","-,451"
"214",72,14,0,0,0,0,",894427180290222","-,123572819709778","-,451"
"215",72,15,0,0,1,0,",894427180290222","-,123572819709778","-,451"
"216",72,16,0,0,2,0,",894427180290222","-,123572819709778","-,451"
"217",73,14,0,1,0,0,"0","-1,018","-,451"
"218",73,15,0,1,1,0,"0","-1,018","-,451"
"219",73,16,0,1,2,0,"0","-1,018","-,451"
"220",74,14,0,1,0,0,"1,54919338226318",",531193382263184","-,451"
"221",74,15,0,1,1,173205077648163,"1,54919338226318",",531193382263184","-,451"
"222",74,16,0,1,2,22360680103302,"1,54919338226318",",531193382263184","-,451"
"223",75,14,0,0,0,0,"1,78885436058044",",770854360580444","-,451"
"224",75,15,0,0,1,0,"1,78885436058044",",770854360580444","-,451"
"225",75,16,0,0,2,0,"1,78885436058044",",770854360580444","-,451"
"226",76,14,0,0,0,0,"0","-1,018","-,451"
"227",76,15,0,0,1,0,"0","-1,018","-,451"
"228",76,16,0,0,2,0,"0","-1,018","-,451"
"229",77,14,0,1,0,0,",894427180290222","-,123572819709778","-,451"
"230",77,15,0,1,1,141421353816986,",894427180290222","-,123572819709778","-,451"
"231",77,16,0,1,2,282842707633972,",894427180290222","-,123572819709778","-,451"
"232",78,14,0,0,0,0,",894427180290222","-,123572819709778","-,451"
"233",78,15,0,0,1,0,",894427180290222","-,123572819709778","-,451"
"234",78,16,0,0,2,0,",894427180290222","-,123572819709778","-,451"
"235",79,14,0,1,0,1,",894427180290222","-,123572819709778","-,451"
"236",79,15,0,1,1,22360680103302,",894427180290222","-,123572819709778","-,451"
"237",79,16,0,1,2,141421353816986,",894427180290222","-,123572819709778","-,451"
"238",80,14,0,1,0,1,",894427180290222","-,123572819709778","-,451"
"239",80,15,0,1,1,1,",894427180290222","-,123572819709778","-,451"
"240",80,16,0,1,2,173205077648163,",894427180290222","-,123572819709778","-,451"
"241",81,14,0,1,0,0,"1,54919338226318",",531193382263184","-,451"
"242",81,15,0,1,1,0,"1,54919338226318",",531193382263184","-,451"
"243",81,16,0,1,2,0,"1,54919338226318",",531193382263184","-,451"
"244",82,14,0,0,0,0,"2,19089031219482","1,17289031219482","-,451"
"245",82,15,0,0,1,141421353816986,"2,19089031219482","1,17289031219482","-,451"
"246",82,16,0,0,2,1,"2,19089031219482","1,17289031219482","-,451"
