"","agem","quartiers","SES","famille","mold"
"384",39,14792,2438,384,376
"385",42,14792,2835,385,376
"386",37,14864,32,386,436
"387",43,14864,326,387,436
"388",45,14864,30,388,436
"389",46,14864,304,389,436
"390",47,14864,357,390,436
"391",35,14883,349,391,392
"392",38,14883,3572,392,392
"393",40,14883,3657,393,392
"394",41,14883,3686,394,392
"395",42,14883,3572,395,392
"396",36,14922,3203,396,404
"397",38,14922,1928,397,404
"398",39,14922,2778,398,404
"399",41,14922,2863,399,404
"400",48,14922,258,400,404
"401",35,14998,318,401,42
"402",39,14998,382,402,42
"403",41,14998,41,403,42
"404",47,14998,386,404,42
"405",48,14998,367,405,42
"406",37,15229,292,406,396
"407",38,15229,296,407,396
"408",39,15229,299,408,396
"409",41,15229,268,409,396
"410",43,15229,26,410,396
"411",36,15976,3459,411,386
"412",37,15976,3317,412,386
"413",38,15976,309,413,386
"414",40,15976,3175,414,386
"415",42,15976,3459,415,386
"416",37,15985,3005,416,408
"417",39,15985,258,417,408
"418",41,15985,3147,418,408
"419",42,15985,3487,419,408
"420",45,15985,36,420,408
"421",36,16327,2722,421,386
"422",37,16327,3203,422,386
"423",38,16327,3232,423,386
"424",40,16327,2977,424,386
"425",42,16327,3005,425,386
"426",45,16673,3572,426,518
"427",51,16673,3799,427,518
"428",52,16673,3204,428,518
"429",55,16673,3629,429,518
"430",56,16673,36,430,518
"431",43,16735,3118,431,478
"432",45,16735,36,432,478
"433",48,16735,3544,433,478
"434",50,16735,36,434,478
"435",53,16735,3147,435,478
"436",38,16840,304,436,42
"437",39,16840,358,437,42
"438",41,16840,354,438,42
"439",45,16840,327,439,42
"440",47,16840,32,440,42
"441",35,16911,20,441,41
"442",38,16911,288,442,41
"443",42,16911,224,443,41
"444",44,16911,235,444,41
"445",46,16911,346,445,41
"446",35,17193,3005,446,40
"447",37,17193,343,447,40
"448",39,17193,3742,448,40
"449",44,17193,3232,449,40
"450",45,17193,3317,450,40
"451",37,17229,2892,451,40
"452",38,17229,3515,452,40
"453",40,17229,3402,453,40
"454",42,17229,2381,454,40
"455",43,17229,3232,455,40
"456",36,17735,349,456,392
"457",38,17735,292,457,392
"458",39,17735,3629,458,392
"459",41,17735,345,459,392
"460",42,17735,296,460,392
"461",41,18849,3289,461,444
"462",43,18849,3459,462,444
"463",44,18849,326,463,444
"464",46,18849,3147,464,444
"465",48,18849,3062,465,444
"466",49,19040,4167,466,538
"467",51,19040,3629,467,538
"468",53,19040,3771,468,538
"469",56,19040,3374,469,538
"470",60,19040,36,470,538
"471",38,19617,3799,471,45
"472",44,19617,425,472,45
"473",46,19617,3119,473,45
"474",48,19617,3317,474,45
"475",49,19617,4196,475,45
"476",35,19668,2863,476,376
"477",36,19668,3345,477,376
"478",37,19668,3062,478,376
"479",39,19668,2977,479,376
"480",41,19668,3317,480,376
"481",40,19860,3345,481,428
"482",41,19860,326,482,428
"483",42,19860,326,483,428
"484",45,19860,3402,484,428
"485",46,19860,3402,485,428
"486",34,20232,2835,486,398
"487",36,20232,27,487,398
"488",39,20232,25,488,398
"489",44,20232,36,489,398
"490",46,20232,2268,490,398
"491",42,20282,252,491,466
"492",44,20282,343,492,466
"493",46,20282,36,493,466
"494",50,20282,337,494,466
"495",51,20282,388,495,466
"496",37,20296,278,496,43
"497",41,20296,323,497,43
"498",43,20296,368,498,43
"499",46,20296,354,499,43
"500",48,20296,2977,500,43
"501",46,20301,364,501,512
"502",49,20301,232,502,512
"503",50,20301,302,503,512
"504",54,20301,285,504,512
"505",57,20301,295,505,512
"506",44,20498,1077,506,494
"507",47,20498,4167,507,494
"508",49,20498,3232,508,494
"509",53,20498,3374,509,494
"510",54,20498,3629,510,494
"511",45,20855,3459,511,502
"512",47,20855,377,512,502
"513",49,20855,3884,513,502
"514",53,20855,3345,514,502
"515",57,20855,3685,515,502
"516",38,22148,33,516,406
"517",39,22148,36,517,406
"518",41,22148,29,518,406
"519",42,22148,3175,519,406
"520",43,22148,3544,520,406
"521",36,22230,332,521,384
"522",37,22230,31,522,384
"523",38,22230,3232,523,384
"524",39,22230,294,524,384
"525",42,22230,4082,525,384
"526",37,22722,2098,526,404
"527",38,22722,2892,527,404
"528",40,22722,2325,528,404
"529",42,22722,2948,529,404
"530",45,22722,3175,530,404
"531",36,22875,325,531,418
"532",38,22875,304,532,418
"533",40,22875,281,533,418
"534",46,22875,358,534,418
"535",49,22875,324,535,418
"536",35,23065,3374,536,38
"537",37,23065,4082,537,38
"538",38,23065,3402,538,38
"539",39,23065,3742,539,38
"540",41,23065,343,540,38
"541",45,24169,3685,541,502
"542",47,24169,3515,542,502
"543",51,24169,3657,543,502
"544",53,24169,3345,544,502
"545",55,24169,343,545,502
"546",38,24305,3685,546,422
"547",41,24305,3799,547,422
"548",43,24305,3572,548,422
"549",44,24305,3033,549,422
"550",45,24305,3345,550,422
"551",46,24438,2325,551,506
"552",48,24438,224,552,506
"553",49,24438,326,553,506
"554",54,24438,3572,554,506
"555",56,24438,2552,555,506
"556",35,24699,2892,556,386
"557",37,24699,1588,557,386
"558",38,24699,3118,558,386
"559",39,24699,3232,559,386
"560",44,24699,3345,560,386
"561",40,24825,2495,561,434
"562",41,24825,2523,562,434
"563",43,24825,2863,563,434
"564",45,24825,3033,564,434
"565",48,24825,1474,565,434
"566",44,24898,3487,566,48
"567",45,24898,3969,567,48
"568",47,24898,3884,568,48
"569",48,24898,4281,569,48
"570",56,24898,4394,570,48
"571",36,24929,3175,571,406
"572",38,24929,3345,572,406
"573",40,24929,343,573,406
"574",44,24929,3289,574,406
"575",45,24929,3204,575,406
"576",36,26070,2608,576,408
"577",40,26070,33,577,408
"578",41,26070,281,578,408
"579",42,26070,295,579,408
"580",45,26070,39,580,408
"581",42,26248,34,581,468
"582",44,26248,288,582,468
"583",46,26248,367,583,468
"584",49,26248,26,584,468
"585",53,26248,225,585,468
"586",39,26307,3374,586,424
"587",41,26307,288,587,424
"588",43,26307,312,588,424
"589",44,26307,346,589,424
"590",45,26307,284,590,424
"591",38,26589,3062,591,402
"592",39,26589,309,592,402
"593",40,26589,2693,593,402
"594",41,26589,3289,594,402
"595",43,26589,3062,595,402
"596",37,26689,3317,596,396
"597",38,26689,3856,597,396
"598",40,26689,326,598,396
"599",41,26689,3374,599,396
"600",42,26689,3147,600,396
"601",38,27193,345,601,428
"602",41,27193,4196,602,428
"603",43,27193,3969,603,428
"604",45,27193,4338,604,428
"605",47,27193,3487,605,428
"606",37,27378,2722,606,404
"607",38,27378,2977,607,404
"608",40,27378,3402,608,404
"609",42,27378,2665,609,404
"610",45,27378,241,610,404
"611",42,27975,3175,611,45
"612",43,27975,3033,612,45
"613",45,27975,3005,613,45
"614",46,27975,3912,614,45
"615",49,27975,2892,615,45
"616",35,28673,2892,616,41
"617",40,28673,3005,617,41
"618",42,28673,2807,618,41
"619",44,28673,275,619,41
"620",44,28673,258,620,41
"621",35,28868,2693,621,40
"622",37,28868,2892,622,40
"623",39,28868,2381,623,40
"624",41,28868,2948,624,40
"625",48,28868,2495,625,40
"626",46,29379,2722,626,51
"627",49,29379,3402,627,51
"628",52,29379,3572,628,51
"629",53,29379,4082,629,51
"630",55,29379,3487,630,51
"631",37,29631,343,631,404
"632",39,29631,3402,632,404
"633",40,29631,3884,633,404
"634",42,29631,3345,634,404
"635",44,29631,3033,635,404
"636",36,30412,258,636,402
"637",38,30412,326,637,402
"638",40,30412,3289,638,402
"639",42,30412,3969,639,402
"640",45,30412,3147,640,402
"641",35,30745,247,641,39
"642",38,30745,272,642,39
"643",39,30745,266,643,39
"644",41,30745,254,644,39
"645",42,30745,30,645,39
"646",41,30761,29,646,478
"647",44,30761,279,647,478
"648",50,30761,275,648,478
"649",51,30761,2948,649,478
"650",53,30761,2778,650,478
"651",37,30783,285,651,432
"652",42,30783,274,652,432
"653",43,30783,308,653,432
"654",45,30783,324,654,432
"655",49,30783,2778,655,432
"656",38,31511,2778,656,424
"657",39,31511,3062,657,424
"658",40,31511,275,658,424
"659",47,31511,2608,659,424
"660",48,31511,3118,660,424
"661",37,31591,29,661,44
"662",41,31591,208,662,44
"663",44,31591,274,663,44
"664",48,31591,282,664,44
"665",50,31591,3232,665,44
"666",42,31887,2637,666,458
"667",44,31887,309,667,458
"668",46,31887,2637,668,458
"669",48,31887,343,669,458
"670",49,31887,2608,670,458
"671",39,31897,2693,671,44
"672",40,31897,2325,672,44
"673",45,31897,292,673,44
"674",47,31897,291,674,44
"675",49,31897,285,675,44
"676",43,32268,3572,676,464
"677",45,32268,3289,677,464
"678",46,32268,36,678,464
"679",48,32268,3232,679,464
"680",50,32268,309,680,464
"681",35,32361,358,681,39
"682",36,32361,338,682,39
"683",37,32361,246,683,39
"684",41,32361,333,684,39
"685",46,32361,36,685,39
"686",40,32440,33,686,466
"687",43,32440,3415,687,466
"688",47,32440,378,688,466
"689",50,32440,3572,689,466
"690",53,32440,346,690,466
"691",38,32530,109,691,404
"692",39,32530,1332,692,404
"693",40,32530,117,693,404
"694",42,32530,204,694,404
"695",43,32530,282,695,404
"696",37,32815,3487,696,442
"697",42,32815,3941,697,442
"698",46,32815,36,698,442
"699",47,32815,4167,699,442
"700",49,32815,3203,700,442
"701",49,32838,3118,701,518
"702",50,32838,3402,702,518
"703",52,32838,3544,703,518
"704",53,32838,3345,704,518
"705",55,32838,343,705,518
"706",40,33065,2835,706,436
"707",41,33065,2722,707,436
"708",43,33065,2977,708,436
"709",45,33065,292,709,436
"710",49,33065,3147,710,436
"711",39,33223,3005,711,418
"712",40,33223,2835,712,418
"713",42,33223,3317,713,418
"714",43,33223,3033,714,418
"715",45,33223,275,715,418
"716",39,33372,2495,716,42
"717",40,33372,24,717,42
"718",42,33372,298,718,42
"719",44,33372,275,719,42
"720",45,33372,2948,720,42
"721",38,34398,315,721,442
"722",42,34398,36,722,442
"723",44,34398,332,723,442
"724",46,34398,3544,724,442
"725",51,34398,36,725,442
"726",36,34439,26,726,394
"727",38,34439,2807,727,394
"728",40,34439,258,728,394
"729",41,34439,2977,729,394
"730",42,34439,238,730,394
"731",34,34941,2551,731,372
"732",36,34941,309,732,372
"733",37,34941,3062,733,372
"734",39,34941,224,734,372
"735",40,34941,2552,735,372
"736",37,35416,3203,736,398
"737",39,35416,3459,737,398
"738",40,35416,3884,738,398
"739",41,35416,187,739,398
"740",42,35416,3204,740,398
"741",48,36035,4337,741,544
"742",53,36035,3827,742,544
"743",55,36035,3742,743,544
"744",57,36035,4082,744,544
"745",59,36035,3374,745,544
"746",37,36554,243,746,43
"747",42,36554,318,747,43
"748",44,36554,299,748,43
"749",45,36554,2778,749,43
"750",47,36554,311,750,43
"751",45,36947,4508,751,486
"752",46,36947,4564,752,486
"753",48,36947,3629,753,486
"754",51,36947,3856,754,486
"755",53,36947,4366,755,486
"756",37,37791,1899,756,412
"757",40,37791,2835,757,412
"758",42,37791,2807,758,412
"759",43,37791,1673,759,412
"760",44,37791,2296,760,412
"761",38,38301,3629,761,43
"762",40,38301,3232,762,43
"763",43,38301,2977,763,43
"764",45,38301,3317,764,43
"765",49,38301,326,765,43
"766",39,38402,3374,766,412
"767",40,38402,2948,767,412
"768",41,38402,3572,768,412
"769",42,38402,326,769,412
"770",44,38402,3515,770,412
"771",42,38448,3629,771,47
"772",43,38448,3487,772,47
"773",45,38448,3459,773,47
"774",51,38448,3204,774,47
"775",54,38448,3459,775,47
"776",34,39337,2948,776,386
"777",35,39337,292,777,386
"778",38,39337,3033,778,386
"779",40,39337,3317,779,386
"780",46,39337,326,780,386
"781",35,39890,3317,781,376
"782",36,39890,3118,782,376
"783",37,39890,343,783,376
"784",38,39890,2778,784,376
"785",42,39890,305,785,376
"786",35,39961,3572,786,398
"787",38,39961,3119,787,398
"788",41,39961,3544,788,398
"789",42,39961,2665,789,398
"790",43,39961,2977,790,398
"791",37,40075,3544,791,416
"792",38,40075,3232,792,416
"793",41,40075,3629,793,416
"794",45,40075,292,794,416
"795",47,40075,2948,795,416
"796",40,40084,3515,796,454
"797",43,40084,3119,797,454
"798",46,40084,2863,798,454
"799",48,40084,3572,799,454
"800",50,40084,3203,800,454
"801",36,40200,322,801,388
"802",37,40200,3345,802,388
"803",39,40200,35,803,388
"804",40,40200,31,804,388
"805",42,40200,3317,805,388
"806",36,40202,338,806,416
"807",38,40202,264,807,416
"808",41,40202,316,808,416
"809",46,40202,109,809,416
"810",47,40202,232,810,416
"811",37,40209,306,811,422
"812",39,40209,286,812,422
"813",42,40209,366,813,422
"814",46,40209,391,814,422
"815",47,40209,36,815,422
"816",50,40224,3912,816,54
"817",52,40224,3572,817,54
"818",53,40224,3997,818,54
"819",57,40224,354,819,54
"820",58,40224,3657,820,54
"821",42,40543,3459,821,476
"822",45,40543,3402,822,476
"823",47,40543,3856,823,476
"824",50,40543,3629,824,476
"825",54,40543,3515,825,476
"826",35,41290,324,826,388
"827",37,41290,314,827,388
"828",39,41290,338,828,388
"829",40,41290,286,829,388
"830",43,41290,362,830,388
"831",39,41309,36,831,452
"832",42,41309,282,832,452
"833",46,41309,329,833,452
"834",48,41309,337,834,452
"835",51,41309,301,835,452
"836",44,41383,3374,836,502
"837",46,41383,3912,837,502
"838",52,41383,34,838,502
"839",53,41383,35,839,502
"840",56,41383,407,840,502
"841",44,41395,4111,841,498
"842",46,41395,3742,842,498
"843",49,41395,3459,843,498
"844",51,41395,3912,844,498
"845",59,41395,4621,845,498
"846",37,42098,3544,846,408
"847",38,42098,3374,847,408
"848",40,42098,3884,848,408
"849",44,42098,3345,849,408
"850",45,42098,4281,850,408
"851",37,42184,294,851,398
"852",39,42184,274,852,398
"853",40,42184,275,853,398
"854",41,42184,324,854,398
"855",42,42184,349,855,398
"856",50,42245,3147,856,544
"857",52,42245,3118,857,544
"858",54,42245,343,858,544
"859",56,42245,3657,859,544
"860",60,42245,3969,860,544
"861",39,42367,3544,861,424
"862",41,42367,3487,862,424
"863",42,42367,3345,863,424
"864",44,42367,2523,864,424
"865",46,42367,326,865,424
"866",39,42727,3799,866,45
"867",40,42727,3799,867,45
"868",47,42727,4564,868,45
"869",49,42727,4082,869,45
"870",50,42727,3827,870,45
"871",35,43077,3685,871,386
"872",37,43077,3062,872,386
"873",38,43077,306,873,386
"874",40,43077,3289,874,386
"875",43,43077,32,875,386
"876",37,43149,322,876,402
"877",39,43149,392,877,402
"878",40,43149,352,878,402
"879",42,43149,364,879,402
"880",43,43149,381,880,402
"881",39,43396,3997,881,422
"882",40,43396,3969,882,422
"883",42,43396,3799,883,422
"884",44,43396,4281,884,422
"885",46,43396,3572,885,422
"886",37,43695,3856,886,42
"887",40,43695,3714,887,42
"888",41,43695,3912,888,42
"889",45,43695,3515,889,42
"890",47,43695,3289,890,42
"891",38,44212,3062,891,434
"892",41,44212,326,892,434
"893",42,44212,2665,893,434
"894",47,44212,2466,894,434
"895",49,44212,224,895,434
"896",37,44383,3657,896,41
"897",38,44383,3941,897,41
"898",39,44383,4082,898,41
"899",44,44383,3317,899,41
"900",47,44383,3487,900,41
"901",38,45596,314,901,442
"902",40,45596,307,902,442
"903",46,45596,351,903,442
"904",48,45596,3402,904,442
"905",49,45596,3544,905,442
"906",39,45693,3232,906,456
"907",45,45693,3119,907,456
"908",47,45693,2523,908,456
"909",48,45693,1701,909,456
"910",49,45693,2665,910,456
"911",37,46268,2296,911,402
"912",38,46268,2296,912,402
"913",40,46268,1786,913,402
"914",42,46268,207,914,402
"915",44,46268,2013,915,402
"916",44,46374,3685,916,502
"917",48,46374,3657,917,502
"918",50,46374,3487,918,502
"919",54,46374,3742,919,502
"920",55,46374,3941,920,502
"921",38,46730,3487,921,424
"922",40,46730,3232,922,424
"923",43,46730,3119,923,424
"924",44,46730,326,924,424
"925",47,46730,3544,925,424
"926",35,47380,309,926,408
"927",37,47380,292,927,408
"928",42,47380,1956,928,408
"929",44,47380,2041,929,408
"930",46,47380,2126,930,408
"931",37,47470,3402,931,41
"932",39,47470,3742,932,41
"933",41,47470,3345,933,41
"934",42,47470,326,934,41
"935",46,47470,3742,935,41
"936",37,47649,3459,936,40
"937",38,47649,3317,937,40
"938",40,47649,2863,938,40
"939",42,47649,2608,939,40
"940",43,47649,241,940,40
"941",36,47710,2948,941,412
"942",39,47710,2863,942,412
"943",42,47710,3062,943,412
"944",44,47710,4139,944,412
"945",45,47710,36,945,412
"946",34,47925,298,946,388
"947",36,47925,2977,947,388
"948",39,47925,2948,948,388
"949",42,47925,2438,949,388
"950",43,47925,292,950,388
"951",37,48010,33,951,408
"952",37,48010,2523,952,408
"953",39,48010,3289,953,408
"954",43,48010,343,954,408
"955",48,48010,3827,955,408
"956",38,48028,3629,956,432
"957",39,48028,3714,957,432
